player_name,team_name,minute,shot_statsbomb_xg,shot_outcome_name,shot_technique_name,shot_body_part_name,x,y,is_goal
Cristiano Ronaldo dos Santos Aveiro,Real Madrid,31,0.037667714,Saved,Half Volley,Right Foot,102.3,29.4,0
Cristiano Ronaldo dos Santos Aveiro,Real Madrid,33,0.7835,Goal,Normal,Right Foot,108.1,40.1,1
Toni Kroos,Real Madrid,36,0.020741632,Off T,Normal,Right Foot,91.4,51.1,0
Borja Mayoral Moya,Real Madrid,37,0.06662694,Saved to Post,Half Volley,Right Foot,100.9,40.9,0
Deyverson Brum Silva Acosta,Levante UD,38,0.5093214,Goal,Normal,Left Foot,106.7,42.8,1
Danilo Luiz da Silva,Real Madrid,42,0.020092944,Off T,Normal,Right Foot,96.0,56.8,0
James David Rodríguez Rubio,Real Madrid,51,0.025570013,Blocked,Normal,Left Foot,96.3,50.3,0
José Ignacio Fernández Iglesias,Real Madrid,53,0.048274383,Saved,Normal,Right Foot,96.8,32.4,0
Carlos Henrique Casimiro,Real Madrid,59,0.005538688,Off T,Normal,Right Foot,82.3,46.8,0
Cristiano Ronaldo dos Santos Aveiro,Real Madrid,65,0.177373,Post,Volley,Left Foot,112.2,31.8,0
Carlos Henrique Casimiro,Real Madrid,69,0.023115728,Off T,Normal,Right Foot,92.4,51.6,0
José Antonio García Rabasco,Levante UD,73,0.022726864,Off T,Normal,Right Foot,91.9,29.9,0
Cristiano Ronaldo dos Santos Aveiro,Real Madrid,74,0.076808356,Off T,Normal,Right Foot,101.5,41.1,0
Jefferson Andrés Lerma Solís,Levante UD,77,0.027890377,Off T,Half Volley,Right Foot,95.0,44.0,0
Rubén García Santos,Levante UD,81,0.06352023,Saved,Normal,Left Foot,91.7,38.9,0
Deyverson Brum Silva Acosta,Levante UD,81,0.07964864,Off T,Normal,Head,112.5,36.5,0
Zouhair Feddal,Levante UD,85,0.071868375,Wayward,Normal,Head,110.7,40.9,0
Jesé Rodríguez Ruiz,Real Madrid,87,0.062223546,Saved,Normal,Right Foot,103.6,31.9,0
Rubén García Santos,Levante UD,87,0.02602882,Off T,Normal,Left Foot,91.1,33.6,0
Cristiano Ronaldo dos Santos Aveiro,Real Madrid,89,0.05121226,Saved,Normal,Left Foot,108.4,53.1,0
Francisco Román Alarcón Suárez,Real Madrid,91,0.21993043,Goal,Normal,Right Foot,106.5,43.3,1
Jesé Rodríguez Ruiz,Real Madrid,93,0.16273338,Saved,Normal,Right Foot,114.5,50.5,0
Víctor Casadesús Castaño,Levante UD,94,0.029242234,Off T,Half Volley,Right Foot,98.7,51.6,0
Cristiano Ronaldo dos Santos Aveiro,Real Madrid,0,0.014304829,Off T,Half Volley,Right Foot,94.9,26.1,0
Augusto Matías Fernández,Atlético Madrid,9,0.04500669,Off T,Normal,Left Foot,95.6,43.4,0
Raphaël Varane,Real Madrid,16,0.026721066,Off T,Normal,Head,106.3,37.9,0
Cristiano Ronaldo dos Santos Aveiro,Real Madrid,20,0.018674081,Off T,Normal,Left Foot,92.0,53.9,0
Fernando José Torres Sanz,Atlético Madrid,25,0.0502117,Blocked,Normal,Left Foot,110.1,31.6,0
Cristiano Ronaldo dos Santos Aveiro,Real Madrid,31,0.04354762,Saved,Normal,Right Foot,95.6,27.6,0
James David Rodríguez Rubio,Real Madrid,31,0.05161286,Blocked,Half Volley,Left Foot,101.7,40.8,0
Karim Benzema,Real Madrid,31,0.062042583,Off T,Half Volley,Right Foot,104.9,49.5,0
José María Giménez de Vargas,Atlético Madrid,38,0.20158678,Wayward,Normal,Head,116.8,37.1,0
Antoine Griezmann,Atlético Madrid,39,0.032981567,Saved,Normal,Left Foot,96.3,28.6,0
